"user_id","country","platform","signed_up_at","phone_verified_at","email_verified_at","id_verified_at"
"008581b9","","",2023-08-23 05:14:00,NA,NA,NA
"008b4e26","US","web",2023-08-11 18:56:00,NA,NA,NA
"008cea06","GB","ios",2023-10-18 11:52:00,2023-10-18 11:59:05.829504,2023-10-18 11:55:03.265771,2023-10-19 14:56:53.304606
"008ee516","GB","android",2023-09-28 20:40:00,2023-09-28 20:45:13.030416,2023-09-28 20:43:11.051394,2023-09-30 09:06:36.790232
"00973e64","US","ios",2023-01-07 02:26:00,2023-01-07 02:29:46.505473,2023-01-07 02:27:32.680568,2023-01-07 12:31:33.468084
"009c1db8","US","ios",2023-02-07 19:38:00,2023-02-07 19:44:15.100055,2023-02-07 19:40:36.460937,NA
"00b1f480","US","ios",2023-10-29 08:20:00,2023-10-29 08:25:54.721133,2023-10-29 08:22:51.272648,NA
"00c1101a","","",2023-08-20 14:02:00,NA,NA,NA
"00c1f308","US","android",2023-06-05 08:04:00,2023-06-05 08:09:00.713662,2023-06-05 08:06:24.381589,NA
"00c348d2","BR","android",2023-02-19 20:20:00,NA,NA,NA
"00c722c2","US","android",2023-09-24 23:52:00,2023-09-24 23:56:33.38698,2023-09-24 23:54:23.567263,NA
"00c9e7dd","US","ios",2023-04-20 07:28:00,2023-04-20 07:33:00.963254,2023-04-20 07:29:47.257531,NA
"00cb68bc","US","ios",2023-03-10 20:40:00,2023-03-10 20:45:07.121837,2023-03-10 20:42:02.335609,2023-03-10 22:34:56.610683
"00ce9c1f","GB","ios",2023-09-17 05:20:00,2023-09-17 05:23:51.964996,2023-09-17 05:21:49.725524,2023-09-17 14:42:26.159426
"00d60e60","US","",2023-10-16 06:00:00,2023-10-16 06:05:06.699027,2023-10-16 06:02:59.58045,2023-10-16 11:17:22.459055
"00da9cf5","US","ios",2023-08-07 11:24:00,2023-08-07 11:28:30.881901,2023-08-07 11:25:09.57091,NA
"00e51f11","US","ios",2023-11-07 13:58:00,2023-11-07 14:02:16.730002,2023-11-07 14:00:26.492202,2023-11-08 18:49:30.238332
"00e64e4a","US","ios",2023-09-04 19:02:00,2023-09-04 19:07:10.308886,2023-09-04 19:03:59.165519,2023-09-06 09:17:01.830711
"00e74330","US","android",2023-03-18 08:18:00,NA,NA,NA
"00edc002","","web",2023-12-21 05:50:00,2023-12-21 05:54:34.184458,2023-12-21 05:52:01.844266,2023-12-21 13:50:35.944607
"00ee3eb1","","",2023-08-23 05:28:00,NA,NA,NA
"00f12b54","US","ios",2023-09-15 03:14:00,2023-09-15 03:18:44.128294,2023-09-15 03:16:45.682239,2023-09-16 02:58:13.753385
"00ff0e1c","US","android",2023-01-07 01:44:00,2023-01-07 01:48:38.680812,2023-01-07 01:46:51.16077,2023-01-08 01:01:28.968071
"01095314","BR","android",2023-10-08 11:42:00,NA,NA,NA
"010983c0","US","ios",2023-08-20 07:40:00,2023-08-20 07:44:53.540928,2023-08-20 07:41:13.073449,2023-08-20 17:26:07.266112
"010c00ee","US","android",2023-01-17 06:26:00,NA,2023-01-17 06:27:42.11237,NA
"010cd3f6","CA","ios",2023-02-07 10:06:00,2023-02-07 10:11:38.815126,2023-02-07 10:08:27.981036,NA
"01119851","US","ios",2023-12-07 04:12:00,2023-12-07 04:17:58.881141,2023-12-07 04:14:18.989803,2023-12-08 10:11:16.639749
"0127e586","US","ios",2023-02-18 09:00:00,2023-02-18 09:03:38.316801,2023-02-18 09:01:47.223683,2023-02-19 18:43:07.595717
"01287daf","BR","android",2023-06-29 23:44:00,2023-06-29 23:51:03.678686,2023-06-29 23:46:58.499516,2023-06-30 17:11:17.899511
"0128b0ba","","",2023-08-15 08:58:00,NA,NA,NA
"012b3e54","US","ios",2023-05-28 19:30:00,NA,NA,NA
"0135cf75","BR","android",2023-02-01 04:28:00,NA,NA,NA
"0138c1b1","","",2023-08-25 15:54:00,NA,NA,NA
"0151f2d9","GB","ios",2023-06-22 13:52:00,2023-06-22 13:58:49.880475,2023-06-22 13:54:54.342237,2023-06-23 14:55:49.623539
"01536170","BR","ios",2023-04-29 23:24:00,NA,NA,NA
"0159eb75","US","ios",2023-02-05 03:00:00,2023-02-05 03:05:02.090719,2023-02-05 03:01:20.584114,2023-02-07 03:59:24.375961
"01652515","US","android",2023-12-28 03:56:00,2023-12-28 04:01:18.012574,2023-12-28 03:59:05.540246,2023-12-29 10:15:30.575373
"016ba6c6","GB","ios",2023-03-04 22:42:00,2023-03-04 22:47:31.000474,2023-03-04 22:44:48.34575,2023-03-05 23:11:22.685342
"01878cb0","","",2023-08-22 20:22:00,NA,NA,NA
"018a7257","GB","ios",2023-03-18 13:20:00,NA,NA,NA
"018aff7c","GB","web",2023-09-24 16:14:00,2023-09-24 16:19:27.105586,2023-09-24 16:16:01.336897,2023-09-27 03:34:46.436791
"019412a9","US","ios",2023-01-27 01:52:00,2023-01-27 01:56:44.466954,2023-01-27 01:54:27.769469,2023-01-28 17:19:11.793262
"01944da8","","",2023-08-22 13:02:00,NA,NA,NA
"01954d1d","GB","ios",2023-04-26 01:00:00,2023-04-26 01:04:59.204957,2023-04-26 01:02:16.751798,2023-04-26 09:23:18.219914
"0197e194","BR","android",2023-06-25 13:02:00,NA,NA,NA
"019ca8ba","CA","ios",2023-07-27 08:32:00,2023-07-27 08:37:27.926318,2023-07-27 08:35:12.677959,NA
"019eccb8","US","ios",2023-03-10 06:32:00,2023-03-10 06:38:31.643499,2023-03-10 06:34:49.658423,2023-03-11 19:53:04.667869
"019f1d82","GB","web",2023-02-06 09:50:00,2023-02-06 09:54:46.052447,2023-02-06 09:52:45.610414,2023-02-07 06:28:34.397195
"01bc02eb","US","ios",2023-07-10 01:02:00,2023-07-10 01:08:08.550862,2023-07-10 01:05:19.676824,2023-07-11 14:21:45.074416
"01c6f51a","US","ios",2023-08-30 04:16:00,NA,NA,NA
"01c9da63","","",2023-08-25 04:44:00,NA,NA,NA
"01d034f5","US","android",2023-10-08 12:12:00,2023-10-08 12:18:20.72715,2023-10-08 12:14:54.358495,2023-10-09 20:23:51.283481
"01d50ce0","GB","android",2023-12-04 00:26:00,NA,NA,NA
"01dac7a5","US","ios",2023-02-20 17:36:00,2023-02-20 17:40:57.565877,2023-02-20 17:38:20.208421,NA
"01dc2b15","BR","ios",2023-03-21 17:56:00,NA,NA,NA
"01e17e2b","BR","android",2023-10-21 13:22:00,NA,2023-10-21 13:24:01.183289,NA
"01e6dba8","BR","android",2023-12-20 06:36:00,2023-12-20 06:42:32.905193,2023-12-20 06:39:10.53516,NA
"01e8a42f","CA","android",2023-07-03 22:04:00,2023-07-03 22:08:37.977268,2023-07-03 22:06:17.500248,NA
"01f48a66","","",2023-08-16 17:40:00,NA,NA,NA
"01f7eca1","","",2023-08-16 17:56:00,NA,NA,NA
"01fe5c67","CA","android",2023-06-27 05:02:00,2023-06-27 05:07:54.682518,2023-06-27 05:04:44.240871,NA
"020d4be0","","",2023-08-26 15:58:00,NA,NA,NA
"0226fa2f","US","ios",2023-10-19 14:06:00,2023-10-19 14:11:58.523665,2023-10-19 14:08:07.542198,NA
"022c9810","GB","ios",2023-07-01 08:10:00,NA,NA,NA
"022d25f9","US","ios",2023-09-20 08:42:00,NA,NA,NA
"02354a4e","GB","ios",2023-02-23 21:52:00,NA,NA,NA
"02457ea9","US","ios",2023-09-29 12:10:00,2023-09-29 12:16:30.591227,2023-09-29 12:12:35.244008,NA
"0249c35e","US","web",2023-07-20 19:12:00,NA,2023-07-20 19:14:29.151661,NA
"024a9cbb","GB","ios",2023-08-13 23:24:00,2023-08-13 23:26:55.086847,2023-08-13 23:25:07.52088,2023-08-14 04:55:00.125918
"024e24d5","US","android",2023-08-20 05:38:00,2023-08-20 05:42:40.150502,2023-08-20 05:41:01.508193,NA
"0257a2f3","US","android",2023-10-22 18:52:00,2023-10-22 18:56:52.861765,2023-10-22 18:53:33.929504,2023-10-23 02:43:03.011857
"025caf3d","CA","ios",2023-01-22 14:42:00,2023-01-22 14:47:02.30438,2023-01-22 14:43:28.434916,2023-01-23 20:04:47.762229
"02603e3d","US","ios",2023-10-30 05:20:00,NA,2023-10-30 05:22:31.891409,NA
"026e3514","US","android",2023-06-10 03:46:00,NA,NA,NA
"026feef1","GB","ios",2023-07-23 14:52:00,2023-07-23 14:56:52.091277,2023-07-23 14:55:06.062223,NA
"0278ab8e","US","ios",2023-09-27 20:52:00,2023-09-27 20:56:59.487824,2023-09-27 20:53:05.090106,2023-09-29 20:09:37.603608
"0278e112","BR","android",2023-08-30 12:54:00,NA,2023-08-30 12:56:06.158202,NA
"027a9a84","US","ios",2023-10-06 06:38:00,2023-10-06 06:45:00.070188,2023-10-06 06:41:19.972086,2023-10-07 18:53:16.384895
"027d7e54","CA","android",2023-03-16 13:50:00,NA,NA,NA
"02828c58","US","android",2023-06-30 08:34:00,NA,NA,NA
"028cdad4","","",2023-08-16 22:42:00,NA,NA,NA
"028e668e","CA","android",2023-10-07 07:36:00,NA,NA,NA
"028ec94b","GB","ios",2023-03-29 23:54:00,2023-03-29 23:59:01.584118,2023-03-29 23:55:03.613222,2023-03-31 05:47:34.00625
"02a19116","BR","ios",2023-11-26 02:24:00,NA,2023-11-26 02:26:48.493624,NA
"02a3cfad","BR","ios",2023-10-30 05:54:00,NA,2023-10-30 05:56:13.951763,NA
"02a4d5c7","US","ios",2023-12-20 06:54:00,2023-12-20 06:57:11.024176,2023-12-20 06:55:13.459412,2023-12-21 03:03:36.201538
"02a80f73","US","ios",2023-01-23 12:48:00,2023-01-23 12:53:26.081153,2023-01-23 12:50:07.887557,2023-01-25 10:54:05.937369
"02a93788","CA","ios",2023-05-07 20:06:00,2023-05-07 20:09:34.035255,2023-05-07 20:07:27.77496,2023-05-08 13:37:43.114973
"02ad0167","US","android",2023-12-27 15:36:00,2023-12-27 15:41:17.692477,2023-12-27 15:38:04.953558,NA
"02add032","US","ios",2023-01-24 06:38:00,2023-01-24 06:44:07.582895,2023-01-24 06:40:56.306108,NA
"02b221c9","BR","ios",2023-04-10 14:14:00,2023-04-10 14:20:44.199677,2023-04-10 14:16:57.82827,NA
"02b9f64c","US","ios",2023-07-20 18:08:00,NA,2023-07-20 18:09:18.573949,NA
"02c18ae7","US","ios",2023-09-14 03:16:00,2023-09-14 03:20:34.89005,2023-09-14 03:17:17.439278,2023-09-15 19:36:48.454481
"02c6407d","CA","ios",2023-03-17 09:08:00,NA,NA,NA
"02c65d00","US","ios",2023-01-01 16:44:00,2023-01-01 16:49:28.468955,2023-01-01 16:47:08.908314,2023-01-01 17:29:59.872815
"02cbd3cf","US","web",2023-07-15 04:06:00,2023-07-15 04:12:59.90879,2023-07-15 04:09:10.083415,NA
"02cf116b","","",2023-08-22 02:40:00,NA,NA,NA
"02d1b1c3","US","ios",2023-09-21 11:00:00,2023-09-21 11:05:12.442311,2023-09-21 11:01:09.054951,NA
"02d5efcf","","web",2023-09-30 04:50:00,2023-09-30 04:55:25.694957,2023-09-30 04:53:12.167957,NA
"02d7486d","US","ios",2023-03-16 09:02:00,NA,NA,NA
"02d9261a","GB","ios",2023-11-30 08:44:00,2023-11-30 08:46:53.310267,2023-11-30 08:45:02.751015,NA
"02dcc0b2","US","web",2023-10-01 18:54:00,2023-10-01 19:00:39.835728,2023-10-01 18:56:58.681605,2023-10-02 20:01:01.916482
"02dd1dd3","US","ios",2023-02-11 01:24:00,2023-02-11 01:29:32.756742,2023-02-11 01:26:05.403869,NA
"02e4c28d","US","android",2023-11-21 15:04:00,2023-11-21 15:09:56.89985,2023-11-21 15:06:22.582136,2023-11-22 15:36:34.050368
"02e5ca71","US","web",2023-05-14 12:14:00,2023-05-14 12:18:54.78339,2023-05-14 12:16:01.250715,2023-05-16 19:20:49.114353
"02eaf7b4","","",2023-08-22 18:32:00,NA,NA,NA
"02f2b595","US","ios",2023-03-18 17:32:00,2023-03-18 17:37:25.807547,2023-03-18 17:33:30.616875,2023-03-20 03:17:37.778169
"02fb32aa","CA","android",2023-02-12 13:06:00,2023-02-12 13:10:04.119153,2023-02-12 13:08:12.842284,NA
"02fed1b5","BR","web",2023-12-14 19:38:00,NA,NA,NA
"02ffd3e2","GB","ios",2023-03-04 10:18:00,2023-03-04 10:22:55.223336,2023-03-04 10:19:36.036292,2023-03-04 20:32:24.063179
"03025f57","US","ios",2023-09-25 19:42:00,2023-09-25 19:46:48.72033,2023-09-25 19:43:43.185093,2023-09-27 11:47:14.609534
"0305d476","GB","ios",2023-09-10 22:34:00,2023-09-10 22:39:14.276414,2023-09-10 22:37:15.134022,NA
"03061a61","US","ios",2023-11-29 17:54:00,2023-11-29 17:57:24.428741,2023-11-29 17:55:07.687037,2023-11-30 11:33:57.430451
"0322c822","US","ios",2023-02-04 07:02:00,NA,NA,NA
"032acf9c","US","android",2023-10-05 09:48:00,2023-10-05 09:53:19.018045,2023-10-05 09:49:38.529485,2023-10-06 05:37:54.641306
"03343593","BR","android",2023-06-05 01:30:00,NA,NA,NA
"0334d6a1","US","ios",2023-09-17 16:58:00,2023-09-17 17:03:41.426759,2023-09-17 17:00:49.648602,2023-09-18 03:24:28.650614
"033732b9","US","ios",2023-03-07 06:00:00,NA,NA,NA
"033ce659","US","android",2023-05-18 12:36:00,2023-05-18 12:40:17.128556,2023-05-18 12:37:12.097615,2023-05-19 07:28:59.266184
"033f2ee1","US","android",2023-05-09 17:34:00,2023-05-09 17:39:31.291929,2023-05-09 17:36:48.320059,NA
"0345120f","US","android",2023-01-11 00:12:00,2023-01-11 00:17:35.76375,2023-01-11 00:14:14.584478,NA
"0351f8c3","BR","android",2023-08-12 07:54:00,2023-08-12 07:59:11.77697,2023-08-12 07:55:53.478403,NA
"035a6277","US","ios",2023-11-15 23:08:00,2023-11-15 23:13:31.897997,2023-11-15 23:10:32.885722,NA
"035ae3ed","","",2023-08-15 22:04:00,NA,NA,NA
"035eb1a9","BR","ios",2023-08-14 11:38:00,2023-08-14 11:43:02.747179,2023-08-14 11:40:38.149433,NA
"036da629","","",2023-08-22 13:28:00,NA,NA,NA
"0371d895","US","ios",2023-07-10 21:06:00,2023-07-10 21:10:13.520726,2023-07-10 21:07:09.273344,2023-07-12 03:22:19.874144
"0373125e","US","ios",2023-06-11 12:30:00,2023-06-11 12:35:51.467166,2023-06-11 12:32:02.081163,2023-06-11 19:20:19.993238
"0376ca70","US","web",2023-05-06 17:56:00,2023-05-06 18:00:38.684061,2023-05-06 17:58:17.447278,2023-05-07 22:13:16.02075
"03783c72","US","ios",2023-08-22 05:58:00,2023-08-22 06:03:53.809221,2023-08-22 06:00:49.445026,2023-08-23 17:45:30.16167
"037f115d","US","android",2023-02-26 19:32:00,2023-02-26 19:36:48.217844,2023-02-26 19:33:36.873349,NA
"038429c8","GB","web",2023-08-01 17:16:00,2023-08-01 17:20:55.578338,2023-08-01 17:18:04.429237,2023-08-03 09:02:48.0328
"0387c38d","US","ios",2023-03-16 06:00:00,2023-03-16 06:06:33.150706,2023-03-16 06:03:11.880974,NA
"038df8d4","US","ios",2023-12-29 21:32:00,2023-12-29 21:38:47.970534,2023-12-29 21:34:54.365928,2023-12-30 17:44:15.757957
"038e03be","US","ios",2023-07-14 21:08:00,2023-07-14 21:11:35.400475,2023-07-14 21:09:35.601195,2023-07-16 02:42:19.915929
"038f1d11","GB","android",2023-07-08 03:56:00,NA,NA,NA
"0392a09b","BR","android",2023-05-13 09:22:00,NA,NA,NA
"03943a64","BR","android",2023-07-02 23:38:00,NA,NA,NA
"039825e9","US","android",2023-01-27 08:10:00,2023-01-27 08:16:07.309626,2023-01-27 08:12:37.848611,NA
"039ea251","BR","ios",2023-10-20 02:16:00,NA,NA,NA
"03a0b87c","US","web",2023-06-14 03:32:00,2023-06-14 03:36:12.804105,2023-06-14 03:33:44.44114,NA
"03afc211","","",2023-08-16 15:08:00,NA,NA,NA
"03b1c1f3","US","android",2023-04-09 20:22:00,2023-04-09 20:27:13.581005,2023-04-09 20:24:36.279228,NA
"03b8df77","US","android",2023-09-29 09:30:00,2023-09-29 09:34:44.021609,2023-09-29 09:32:25.346492,2023-10-02 07:51:41.269401
"03c1f1e2","US","ios",2023-11-29 17:46:00,NA,NA,NA
"03c7d665","US","ios",2023-08-30 01:12:00,2023-08-30 01:17:23.716533,2023-08-30 01:14:05.153814,2023-08-31 09:24:09.08702
"03ccd858","CA","ios",2023-01-24 18:48:00,2023-01-24 18:53:02.794853,2023-01-24 18:51:18.227947,2023-01-26 01:48:40.822253
"03cd7053","US","web",2023-09-08 06:52:00,2023-09-08 06:58:40.545024,2023-09-08 06:55:05.117027,2023-09-08 16:30:14.896785
"03d9074f","","android",2023-08-07 00:24:00,2023-08-07 00:30:29.433468,2023-08-07 00:26:27.323953,NA
"03e04c77","GB","android",2023-08-28 03:26:00,2023-08-28 03:31:14.898446,2023-08-28 03:27:51.410592,2023-08-28 20:19:57.928537
"03e72e2b","US","ios",2023-02-15 01:36:00,2023-02-15 01:40:05.368765,2023-02-15 01:37:08.853565,2023-02-15 15:35:34.177775
"03f463f4","GB","android",2023-09-12 20:24:00,2023-09-12 20:28:02.057755,2023-09-12 20:25:02.526679,NA
"0400ccb8","US","ios",2023-05-10 07:58:00,2023-05-10 08:02:42.306997,2023-05-10 07:59:18.77759,NA
"04140036","BR","android",2023-02-06 15:58:00,NA,NA,NA
"041f8727","GB","ios",2023-05-27 05:54:00,2023-05-27 06:00:27.616017,2023-05-27 05:57:13.548467,2023-05-28 15:43:00.502353
"04300fd0","","",2023-08-22 09:00:00,NA,NA,NA
"0435e7bd","US","ios",2023-08-27 04:24:00,2023-08-27 04:26:54.569855,2023-08-27 04:25:17.531736,2023-08-27 09:25:55.803146
"043a5b19","US","ios",2023-04-13 17:58:00,NA,2023-04-13 18:00:38.658221,NA
"043cf463","US","web",2023-04-29 23:46:00,2023-04-29 23:52:24.178371,2023-04-29 23:48:25.049601,2023-04-30 14:36:58.669323
"0440b170","GB","android",2023-06-02 10:20:00,NA,NA,NA
"044a73de","BR","ios",2023-08-09 16:34:00,NA,2023-08-09 16:35:28.566951,NA
"045df87a","GB","ios",2023-09-17 13:12:00,2023-09-17 13:19:00.484657,2023-09-17 13:14:54.751695,2023-09-18 17:41:06.317682
"045e2a43","US","ios",2023-04-04 07:44:00,NA,NA,NA
"045ebc30","","",2023-08-19 02:00:00,NA,NA,NA
"04629642","BR","web",2023-04-13 13:00:00,2023-04-13 13:04:01.473927,2023-04-13 13:01:38.840924,NA
"04657979","GB","web",2023-11-22 14:22:00,NA,NA,NA
"046c7db0","US","ios",2023-07-26 03:08:00,2023-07-26 03:13:37.34508,2023-07-26 03:10:56.973743,2023-07-26 10:42:36.419646
"0472e9aa","CA","ios",2023-03-11 11:30:00,2023-03-11 11:34:48.716796,2023-03-11 11:32:08.870696,2023-03-13 06:23:40.997492
"0483f7f7","US","ios",2023-07-19 18:54:00,2023-07-19 18:59:21.645525,2023-07-19 18:56:02.051711,2023-07-21 14:14:57.17906
"0486e0a6","US","",2023-05-31 03:36:00,2023-05-31 03:42:11.350547,2023-05-31 03:38:14.605711,2023-06-01 20:43:21.75466
"048aac66","US","android",2023-10-25 05:16:00,2023-10-25 05:21:43.568878,2023-10-25 05:18:15.961271,NA
"0490f5c9","BR","android",2023-07-21 17:02:00,2023-07-21 17:06:25.182832,2023-07-21 17:03:56.666945,NA
"04945f50","CA","android",2023-01-04 03:28:00,NA,NA,NA
"0494c1ff","GB","android",2023-01-02 03:06:00,NA,NA,NA
"049906fb","US","android",2023-09-22 16:04:00,2023-09-22 16:07:31.162133,2023-09-22 16:05:44.257751,NA
"0499867c","BR","ios",2023-03-13 18:08:00,2023-03-13 18:13:38.884981,2023-03-13 18:10:38.436046,NA
"0499971e","US","ios",2023-07-26 00:12:00,2023-07-26 00:18:34.649701,2023-07-26 00:14:32.107361,2023-07-26 05:34:01.268464
"049b1fd4","US","web",2023-07-23 23:26:00,2023-07-23 23:31:09.280026,2023-07-23 23:27:07.503559,NA
"049c32aa","GB","ios",2023-10-16 03:10:00,NA,NA,NA
"04afce1c","","",2023-08-20 06:06:00,NA,NA,NA
"04baaf81","US","android",2023-06-30 20:38:00,2023-06-30 20:42:53.690817,2023-06-30 20:41:07.484961,2023-07-02 14:27:22.675973
"04bd42c6","","",2023-08-20 09:10:00,NA,NA,NA
"04bff264","BR","android",2023-10-29 07:24:00,NA,NA,NA
"04ce8dc8","BR","ios",2023-12-25 01:26:00,2023-12-25 01:29:51.883106,2023-12-25 01:28:01.960418,NA
"04d5ae08","GB","ios",2023-01-11 00:30:00,NA,NA,NA
"04d6b37b","","",2023-08-22 21:36:00,NA,NA,NA
"04e20ca5","US","android",2023-06-24 08:16:00,2023-06-24 08:22:33.461349,2023-06-24 08:18:41.09357,NA
"04e24d83","","",2023-08-25 12:42:00,NA,NA,NA
"04e3b90c","US","ios",2023-08-06 22:38:00,2023-08-06 22:42:24.411855,2023-08-06 22:39:50.432998,2023-08-07 03:54:11.30947
"04ee821d","","",2023-08-22 04:32:00,NA,NA,NA
"04ef6e58","CA","android",2023-07-01 20:26:00,NA,NA,NA
"04f47678","US","ios",2023-01-28 01:16:00,2023-01-28 01:21:28.460462,2023-01-28 01:17:54.364037,2023-01-30 03:02:29.823139
"04f793de","","",2023-08-23 16:46:00,NA,NA,NA
"04fc12ea","US","ios",2023-08-29 14:28:00,2023-08-29 14:33:55.880113,2023-08-29 14:29:54.720294,2023-08-30 17:47:42.839667
"05046e6d","US","ios",2023-07-18 00:06:00,2023-07-18 00:11:46.900469,2023-07-18 00:09:19.653379,NA
"050486d0","US","ios",2023-10-10 23:22:00,2023-10-10 23:28:45.574912,2023-10-10 23:24:40.163175,2023-10-11 06:34:34.363498
"05070d99","CA","ios",2023-09-11 20:40:00,2023-09-11 20:45:53.646932,2023-09-11 20:42:42.14138,2023-09-11 21:55:59.236364
"050bf0e0","","web",2023-08-08 09:46:00,NA,2023-08-08 09:47:06.946498,NA
"050da92f","CA","android",2023-03-21 00:16:00,NA,NA,NA
"050f8741","US","ios",2023-03-01 23:32:00,2023-03-01 23:36:03.536909,2023-03-01 23:33:12.822225,2023-03-02 04:51:11.98564
"051242f1","US","ios",2023-08-06 06:52:00,2023-08-06 06:56:57.45958,2023-08-06 06:55:13.278221,2023-08-06 14:13:38.67014
"05145e84","","",2023-08-19 11:50:00,NA,NA,NA
"05233614","US","ios",2023-10-01 17:34:00,2023-10-01 17:40:01.696393,2023-10-01 17:36:32.878604,NA
"05349a63","BR","ios",2023-09-18 08:00:00,2023-09-18 08:04:55.142163,2023-09-18 08:01:10.055586,NA
"05426c1a","US","",2023-01-19 23:48:00,2023-01-19 23:54:28.572499,2023-01-19 23:50:31.577037,2023-01-20 02:35:10.870939
"054b086d","US","ios",2023-05-29 02:42:00,2023-05-29 02:46:15.512357,2023-05-29 02:43:38.317212,2023-05-31 01:46:43.055054
"054bf11c","US","web",2023-07-02 17:40:00,2023-07-02 17:46:05.642391,2023-07-02 17:42:30.132011,2023-07-04 00:30:05.890195
"0554780d","CA","android",2023-11-16 13:44:00,2023-11-16 13:51:17.033332,2023-11-16 13:47:18.346323,2023-11-17 13:09:50.933894
"055678ad","US","android",2023-01-11 14:30:00,2023-01-11 14:34:46.614294,2023-01-11 14:31:09.94715,2023-01-13 05:43:54.478934
"055748ca","CA","ios",2023-05-30 11:52:00,2023-05-30 11:56:38.350278,2023-05-30 11:53:34.975185,NA
"0561cbe7","GB","ios",2023-12-10 21:06:00,2023-12-10 21:09:12.370422,2023-12-10 21:07:03.313359,2023-12-11 11:46:52.743603
"056dc0f0","US","ios",2023-08-05 17:24:00,2023-08-05 17:30:11.808889,2023-08-05 17:26:40.880322,2023-08-06 06:50:13.0956
"056eeee5","GB","ios",2023-04-05 19:30:00,2023-04-05 19:35:52.142046,2023-04-05 19:32:21.15716,NA
"05707f76","US","ios",2023-07-29 06:50:00,NA,NA,NA
"05770c3f","BR","ios",2023-05-22 15:42:00,NA,2023-05-22 15:43:14.974487,NA
"058942ae","CA","android",2023-08-26 18:50:00,2023-08-26 18:54:27.359611,2023-08-26 18:51:37.140224,NA
"058a586e","","",2023-08-21 02:16:00,NA,NA,NA
"058c77f6","GB","web",2023-04-16 03:16:00,NA,NA,NA
"0591ffa8","US","web",2023-03-24 20:40:00,2023-03-24 20:45:32.644209,2023-03-24 20:42:40.844952,NA
"0593cae4","US","ios",2023-05-17 13:26:00,NA,NA,NA
"0596fae5","US","android",2023-06-21 20:08:00,2023-06-21 20:12:55.185187,2023-06-21 20:10:38.869139,NA
"059ca438","US","ios",2023-04-10 06:36:00,2023-04-10 06:40:12.988806,2023-04-10 06:38:03.600691,2023-04-11 03:08:38.726583
"059fff64","GB","ios",2023-07-23 20:08:00,2023-07-23 20:11:34.534876,2023-07-23 20:09:10.519386,2023-07-26 02:00:17.163962
"05a55868","US","ios",2023-07-25 00:58:00,2023-07-25 01:00:58.335898,2023-07-25 00:59:07.662133,2023-07-25 10:22:53.124127
